TS DB-Utility - Vers.: 3.6.02 
All Rights Reserved.
Copyright (C) 2003-2011 by Carl-Heinz Rave(CarlosHR)
PgmDate: 01.07.2011

Function called from >> OS-system:'windows 7', Version:6.1 <<
Java-system   >> Java-JRE :'sun microsystems inc.', Version:1.6.0_24 <<
>>TSUtil '-lE:\VBProjects\Route_Riter v7.5\Reports\AU_NSW_SW_SS.log' 'ichk' '-S' 'E:\Rail Utilities\Train Simulator\Routes\AU_NSW_SW_SS'<<

TSUtil Route-Check selected for 'E:\Rail Utilities\Train Simulator\Routes\AU_NSW_SW_SS'!
   ( 08.07.2011 09:44:07 )

Route-name   : 'AU_NSW_SW_SS'
TS Systempath: 'E:\Rail Utilities\Train Simulator'
TS Route-path: 'E:\Rail Utilities\Train Simulator\Routes\AU_NSW_SW_SS'


Global 'tsection.dat' will be checked and loaded
      'Shape(253)-NumPaths': Specified value is 18. Please check range! (Threshold=15)
 ---> 'Shape(16950)-FileName': Shape-file 'WS2tS0008.s' not found!
 ---> 'Shape(16951)-FileName': Shape-file 'WS2tS001.s' not found!
 ---> 'Shape(16952)-FileName': Shape-file 'WS2tS005.s' not found!
 ---> 'Shape(16953)-FileName': Shape-file 'WS2tS007.s' not found!
 ---> 'Shape(16954)-FileName': Shape-file 'WS2tS010.s' not found!
 ---> 'Shape(16955)-FileName': Shape-file 'WS2tS015.s' not found!
 ---> 'Shape(16956)-FileName': Shape-file 'WS1tS0008.s' not found!
 ---> 'Shape(16957)-FileName': Shape-file 'WS1tS001.s' not found!
 ---> 'Shape(16958)-FileName': Shape-file 'WS1tS010.s' not found!
 ---> 'Shape(16959)-FileName': Shape-file 'WS2tC100r5d.s' not found!
 ---> 'Shape(16960)-FileName': Shape-file 'WS2tC100r10d.s' not found!
 ---> 'Shape(16961)-FileName': Shape-file 'WS2tC50r10d.s' not found!
 ---> 'Shape(16962)-FileName': Shape-file 'WS1tC10r45d.s' not found!
 ---> 'Shape(16963)-FileName': Shape-file 'WS2tC25r10d.s' not found!
 ---> 'Shape(16964)-FileName': Shape-file 'WS2tC75r5d.s' not found!
 ---> 'Shape(16965)-FileName': Shape-file 'WS1tPLftMnl.s' not found!
 ---> 'Shape(16966)-FileName': Shape-file 'WS1tPRgtMnl.s' not found!
 ---> 'Shape(16967)-FileName': Shape-file 'WS1tC25r10dLft.s' not found!
 ---> 'Shape(16968)-FileName': Shape-file 'WS1tC25r10dRgt.s' not found!
 ---> 'Shape(16969)-FileName': Shape-file 'WS4tS010.s' not found!
 ---> 'Shape(16970)-FileName': Shape-file 'WS1tC7-5r22-5d.s' not found!
 ---> 'Shape(16971)-FileName': Shape-file 'WS1tC10-3r22-5d.s' not found!
 ---> 'Shape(16972)-FileName': Shape-file 'WS1tC13-1r22-5d.s' not found!
 ---> 'Shape(16973)-FileName': Shape-file 'WS1tC15-9r22-5d.s' not found!
 ---> 'Shape(16974)-FileName': Shape-file 'WS1PntDepot1.s' not found!
 ---> 'Shape(16975)-FileName': Shape-file 'WS1PntDepot2.s' not found!
 ---> 'Shape(16976)-FileName': Shape-file 'WS1tC7-5r22-5dR.s' not found!
 ---> 'Shape(16977)-FileName': Shape-file 'WS1tC10-3r22-5dR.s' not found!
 ---> 'Shape(16978)-FileName': Shape-file 'WS1tC13-1r22-5dR.s' not found!
 ---> 'Shape(16979)-FileName': Shape-file 'WS1tC15-9r22-5dR.s' not found!
 ---> 'Shape(16980)-FileName': Shape-file 'WS1tC10r1d.s' not found!
 ---> 'Shape(16981)-FileName': Shape-file 'WS1tC10r45dR.s' not found!
 ---> 'Shape(16982)-FileName': Shape-file 'WS1tPLftMnl2.s' not found!
 ---> 'Shape(16983)-FileName': Shape-file 'WS1tPLftMnl3.s' not found!
 ---> 'Shape(16984)-FileName': Shape-file 'WS2tS030.s' not found!
 ---> 'Shape(16985)-FileName': Shape-file 'WS1tS010res1.s' not found!
 ---> 'Shape(17680)-FileName': Shape-file 'V4hs2tTunS_Strt_000_3m.s' not found!
 ---> 'Shape(17681)-FileName': Shape-file 'V4hs2tTunS_Strt_001m.s' not found!
 ---> 'Shape(17682)-FileName': Shape-file 'V4hs2tTunS_Strt_005m.s' not found!
 ---> 'Shape(17683)-FileName': Shape-file 'V4hs2tTunS_Strt_010m.s' not found!
 ---> 'Shape(17684)-FileName': Shape-file 'V4hs2tTunS_Strt_010m_g.s' not found!
 ---> 'Shape(17685)-FileName': Shape-file 'V4hs2tTunS_Strt_020m.s' not found!
 ---> 'Shape(17686)-FileName': Shape-file 'V4hs2tTunS_Strt_050m.s' not found!
 ---> 'Shape(17687)-FileName': Shape-file 'V4hs2tTunS_Strt_100m.s' not found!
 ---> 'Shape(17688)-FileName': Shape-file 'V4hs2tTunS_Strt_250m.s' not found!
 ---> 'Shape(17689)-FileName': Shape-file 'V4hs2tTunS_Strt_500m.s' not found!
 ---> 'Shape(17690)-FileName': Shape-file 'V4hs2tTunS_1000r01d.s' not found!
 ---> 'Shape(17691)-FileName': Shape-file 'V4hs2tTunS_1000r05d.s' not found!
 ---> 'Shape(17692)-FileName': Shape-file 'V4hs2tTunS_1000r10d.s' not found!
 ---> 'Shape(17693)-FileName': Shape-file 'V4hs2tTunS_1000r20d.s' not found!
 ---> 'Shape(17694)-FileName': Shape-file 'V4hs2tTunS_1500r01d.s' not found!
 ---> 'Shape(17695)-FileName': Shape-file 'V4hs2tTunS_1500r05d.s' not found!
 ---> 'Shape(17696)-FileName': Shape-file 'V4hs2tTunS_1500r10d.s' not found!
 ---> 'Shape(17697)-FileName': Shape-file 'V4hs2tTunS_1500r20d.s' not found!
 ---> 'Shape(17698)-FileName': Shape-file 'V4hs2tTunS_2000r01d.s' not found!
 ---> 'Shape(17699)-FileName': Shape-file 'V4hs2tTunS_2000r05d.s' not found!
 ---> 'Shape(17700)-FileName': Shape-file 'V4hs2tTunS_2000r10d.s' not found!
 ---> 'Shape(17701)-FileName': Shape-file 'V4hs2tTunS_2000r20d.s' not found!
 ---> 'Shape(17702)-FileName': Shape-file 'V4hs2tTunS_3000r00_2d.s' not found!
 ---> 'Shape(17703)-FileName': Shape-file 'V4hs2tTunS_3000r00_2d_g.s' not found!
 ---> 'Shape(17704)-FileName': Shape-file 'V4hs2tTunS_3000r01d.s' not found!
 ---> 'Shape(17705)-FileName': Shape-file 'V4hs2tTunS_3000r05d.s' not found!
 ---> 'Shape(17706)-FileName': Shape-file 'V4hs2tTunS_4000r00_2d.s' not found!
 ---> 'Shape(17707)-FileName': Shape-file 'V4hs2tTunS_4000r00_2d_g.s' not found!
 ---> 'Shape(17708)-FileName': Shape-file 'V4hs2tTunS_4000r01d.s' not found!
 ---> 'Shape(17709)-FileName': Shape-file 'V4hs2tTunS_4000r05d.s' not found!
 ---> 'Shape(17710)-FileName': Shape-file 'V4hs2tTunS_6000r00_1d.s' not found!
 ---> 'Shape(17711)-FileName': Shape-file 'V4hs2tTunS_6000r00_1d_g.s' not found!
 ---> 'Shape(17712)-FileName': Shape-file 'V4hs2tTunS_6000r00_5d.s' not found!
 ---> 'Shape(17713)-FileName': Shape-file 'V4hs2tTunS_6000r01d.s' not found!
 ---> 'Shape(17714)-FileName': Shape-file 'V4hs2tTunS_6000r05d.s' not found!
 ---> 'Shape(17715)-FileName': Shape-file 'V4hs2tTunS_8000r00_1d.s' not found!
 ---> 'Shape(17716)-FileName': Shape-file 'V4hs2tTunS_8000r00_1d_g.s' not found!
 ---> 'Shape(17717)-FileName': Shape-file 'V4hs2tTunS_8000r00_5d.s' not found!
 ---> 'Shape(17718)-FileName': Shape-file 'V4hs2tTunS_8000r01d.s' not found!
 ---> 'Shape(17719)-FileName': Shape-file 'V4hs2tTunS_8000r02_5d.s' not found!
 ---> 'Shape(17720)-FileName': Shape-file 'V4hs2tTunR_Strt_000_3m.s' not found!
 ---> 'Shape(17721)-FileName': Shape-file 'V4hs2tTunR_Strt_001m.s' not found!
 ---> 'Shape(17722)-FileName': Shape-file 'V4hs2tTunR_Strt_005m.s' not found!
 ---> 'Shape(17723)-FileName': Shape-file 'V4hs2tTunR_Strt_010m.s' not found!
 ---> 'Shape(17724)-FileName': Shape-file 'V4hs2tTunR_Strt_010m_g.s' not found!
 ---> 'Shape(17725)-FileName': Shape-file 'V4hs2tTunR_Strt_020m.s' not found!
 ---> 'Shape(17726)-FileName': Shape-file 'V4hs2tTunR_Strt_050m.s' not found!
 ---> 'Shape(17727)-FileName': Shape-file 'V4hs2tTunR_Strt_100m.s' not found!
 ---> 'Shape(17728)-FileName': Shape-file 'V4hs2tTunR_Strt_250m.s' not found!
